term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Targeted Therapy,Procedure,FALSE,Targeted Therapy,,Using drugs that target specific cancer cell features.,Targeted therapy for HER2-positive breast cancer.,{},{},"{procedure,oncology}"
PET Scan,Procedure,TRUE,Positron Emission Tomography,,A scan showing how tissues and organs function.,PET scan for cancer staging.,{},{},"{procedure,diagnostic,imaging}"
CT Scan,Procedure,TRUE,Computed Tomography,,A detailed X-ray scan creating cross-sectional images.,CT chest abdomen and pelvis.,{},{CAT scan},"{procedure,diagnostic,imaging}"
MRI,Procedure,TRUE,Magnetic Resonance Imaging,,A scan using magnets and radio waves to create detailed images.,MRI brain with and without contrast.,{},{},"{procedure,diagnostic,imaging}"
X-ray,Procedure,FALSE,X-ray,,A test using radiation to create images of bones and organs.,Chest X-ray shows pneumonia.,{},{radiograph},"{procedure,diagnostic,imaging}"
Ultrasound,Procedure,FALSE,Ultrasound,,A test using sound waves to create images.,Abdominal ultrasound for gallstones.,{},"{sonogram,US}","{procedure,diagnostic,imaging}"
DEXA Scan,Procedure,TRUE,Dual-Energy X-ray Absorptiometry,,A scan measuring bone density.,DEXA scan shows osteoporosis.,{},{bone density scan},"{procedure,diagnostic,imaging}"
Fluoroscopy,Procedure,FALSE,Fluoroscopy,,Real-time moving X-ray images.,Fluoroscopy-guided injection.,{},{},"{procedure,diagnostic,imaging}"
Barium Swallow,Procedure,FALSE,Barium Swallow,,X-rays of the throat and esophagus after drinking contrast.,Barium swallow shows stricture.,{},{esophagram},"{procedure,diagnostic,imaging,gastrointestinal}"
Upper GI Series,Procedure,FALSE,Upper GI Series,,X-rays of esophagus stomach and small intestine with contrast.,Upper GI shows ulcer.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Barium Enema,Procedure,FALSE,Barium Enema,,X-rays of the colon after contrast inserted through rectum.,Barium enema to check for polyps.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Myelogram,Procedure,FALSE,Myelogram,,X-rays of the spine after injecting contrast into spinal fluid.,Myelogram for herniated disc.,{},{},"{procedure,diagnostic,imaging,neurological}"
Venogram,Procedure,FALSE,Venogram,,X-rays of veins after injecting contrast dye.,Venogram to check for DVT.,{},{},"{procedure,diagnostic,imaging,vascular}"
IVP,Procedure,TRUE,Intravenous Pyelogram,,X-rays of kidneys and urinary tract after IV contrast.,IVP shows kidney stones.,{},{},"{procedure,diagnostic,imaging,urology}"
Nuclear Medicine Scan,Procedure,FALSE,Nuclear Medicine Scan,,A scan using radioactive material to see organ function.,Thyroid scan with radioactive iodine.,{},{},"{procedure,diagnostic,imaging}"
Bone Scan,Procedure,FALSE,Bone Scan,,A nuclear medicine scan looking for bone problems.,Bone scan to check for metastases.,{},{},"{procedure,diagnostic,imaging,orthopedic}"
VQ Scan,Procedure,TRUE,Ventilation-Perfusion Scan,,A lung scan checking airflow and blood flow.,VQ scan to rule out pulmonary embolism.,{},{},"{procedure,diagnostic,imaging,pulmonary}"
HIDA Scan,Procedure,TRUE,Hepatobiliary Iminodiacetic Acid Scan,,A scan checking gallbladder and bile duct function.,HIDA scan shows cholecystitis.,{},{},"{procedure,diagnostic,imaging,gastrointestinal}"
Cardiac PET,Procedure,FALSE,Cardiac PET Scan,,A heart scan showing blood flow to heart muscle.,Cardiac PET shows ischemia.,{},{},"{procedure,diagnostic,imaging,cardiovascular}"
EKG,Procedure,TRUE,Electrocardiogram,,A test recording the heart's electrical activity.,EKG shows ST elevation.,{},{ECG},"{procedure,diagnostic,cardiovascular}"
Treadmill Stress Test,Procedure,FALSE,Treadmill Stress Test,,Testing heart function while walking on a treadmill.,Positive stress test for ischemia.,{},{exercise stress test},"{procedure,diagnostic,cardiovascular}"
Nuclear Stress Test,Procedure,FALSE,Nuclear Stress Test,,Heart imaging with radioactive tracer during stress.,Pharmacologic nuclear stress test.,{},{},"{procedure,diagnostic,cardiovascular}"
TEE,Procedure,TRUE,Transesophageal Echocardiogram,,Ultrasound of the heart through the esophagus.,TEE to check for blood clot in heart.,{},{},"{procedure,diagnostic,cardiovascular}"
Cardiac MRI,Procedure,FALSE,Cardiac MRI,,MRI scan of the heart.,Cardiac MRI shows cardiomyopathy.,{},{},"{procedure,diagnostic,imaging,cardiovascular}"
Carotid Ultrasound,Procedure,FALSE,Carotid Ultrasound,,Ultrasound of neck arteries.,Carotid duplex shows stenosis.,{},{carotid doppler},"{procedure,diagnostic,imaging,vascular}"
Venous Doppler,Procedure,FALSE,Venous Doppler Ultrasound,,Ultrasound checking blood flow in veins.,Lower extremity venous doppler for DVT.,{},{},"{procedure,diagnostic,imaging,vascular}"
ABI,Procedure,TRUE,Ankle-Brachial Index,,Comparing blood pressure in ankle and arm.,ABI of 0.7 indicates PAD.,{},{},"{procedure,diagnostic,vascular}"
Skin Biopsy,Procedure,FALSE,Skin Biopsy,,Removing a piece of skin to check for disease.,Punch biopsy of suspicious mole.,{},{},"{procedure,diagnostic,dermatology}"
Excision,Procedure,FALSE,Excision,,Surgically cutting out tissue or a growth.,Excision of lipoma.,{},{surgical removal},"{procedure,surgery}"
Incision and Drainage,Procedure,FALSE,Incision and Drainage,,Cutting open and draining an abscess.,I&D of abscess with packing.,{},{I&D},"{procedure,surgery}"
Cryotherapy,Procedure,FALSE,Cryotherapy,,Freezing tissue to destroy abnormal cells.,Cryotherapy for warts.,{},{},"{procedure,dermatology}"
Electrocautery,Procedure,FALSE,Electrocautery,,Using heat to remove or destroy tissue.,Electrocautery of skin tag.,{},{},"{procedure,dermatology,surgery}"
Laser Therapy,Procedure,FALSE,Laser Therapy,,Using focused light to treat tissue.,Laser treatment for retinopathy.,{},{},{procedure}
Phototherapy,Procedure,FALSE,Phototherapy,,Using light to treat skin conditions.,UV phototherapy for psoriasis.,{},{light therapy},"{procedure,dermatology}"
Mohs Surgery,Procedure,FALSE,Mohs Surgery,,Specialized skin cancer surgery removing one layer at a time.,Mohs surgery for basal cell carcinoma.,{},{},"{procedure,surgery,dermatology,oncology}"
Debridement,Procedure,FALSE,Debridement,,Removing dead or infected tissue from a wound.,Wound debridement for diabetic ulcer.,{},{},"{procedure,surgery}"
Wound VAC,Procedure,FALSE,Wound Vacuum-Assisted Closure,,Using suction to help wounds heal.,Wound VAC for pressure ulcer.,{},{negative pressure wound therapy},{procedure}
Suturing,Procedure,FALSE,Suturing,,Stitching a wound closed.,Suturing of laceration with 4-0 nylon.,{},{stitches},"{procedure,surgery}"
Stapling,Procedure,FALSE,Stapling,,Using metal clips to close a wound.,Staple removal in 10 days.,{},{},"{procedure,surgery}"
Tube Thoracostomy,Procedure,FALSE,Tube Thoracostomy,,Inserting a chest tube.,Chest tube for hemothorax.,{},{},"{procedure,pulmonary}"
Central Line,Procedure,FALSE,Central Line Insertion,,Placing a large IV catheter in a major vein.,Central line for chemotherapy.,{},"{central venous catheter,CVC}",{procedure}
PICC Line,Procedure,TRUE,Peripherally Inserted Central Catheter,,A long IV line inserted through arm vein.,PICC line for long-term antibiotics.,{},{},{procedure}
Port,Procedure,FALSE,Port Placement,,Implanting a device under skin for easy IV access.,Port-a-cath for chemotherapy.,{},{port-a-cath},"{procedure,oncology}"
Foley Catheter,Procedure,FALSE,Foley Catheter Insertion,,Inserting a tube into the bladder to drain urine.,Foley catheter for urinary retention.,{},{urinary catheter},"{procedure,urology}"
NG Tube,Procedure,TRUE,Nasogastric Tube,,A tube through the nose into the stomach.,NG tube for decompression.,{},{},"{procedure,gastrointestinal}"
PEG Tube,Procedure,TRUE,Percutaneous Endoscopic Gastrostomy,,A feeding tube placed through the abdomen into stomach.,PEG tube for long-term nutrition.,{},{feeding tube},"{procedure,gastrointestinal}"
Tracheostomy Care,Procedure,FALSE,Tracheostomy Care,,Maintaining and cleaning a tracheostomy.,Daily trach care with dressing change.,{},{},"{procedure,pulmonary}"
Wound Care,Procedure,FALSE,Wound Care,,Cleaning and dressing wounds.,Daily wound care with wet-to-dry dressings.,{},{},{procedure}
Ostomy Care,Procedure,FALSE,Ostomy Care,,Caring for a surgical opening for waste elimination.,Colostomy care teaching.,{},{},"{procedure,gastrointestinal}"
IV Therapy,Procedure,FALSE,Intravenous Therapy,,Giving fluids or medications through a vein.,IV fluids for dehydration.,{},{},{procedure}
Blood Draw,Procedure,FALSE,Venipuncture,,Drawing blood from a vein.,Venipuncture for labs.,{},{phlebotomy},"{procedure,diagnostic}"
Injections,Procedure,FALSE,Injections,,Giving medication through a needle.,IM injection of antibiotic.,{},{},{procedure}
Intramuscular Injection,Procedure,FALSE,Intramuscular Injection,,Injecting medication into a muscle.,IM injection in deltoid.,{},{IM injection},{procedure}
Subcutaneous Injection,Procedure,FALSE,Subcutaneous Injection,,Injecting medication under the skin.,SubQ insulin injection.,{},{SubQ injection},{procedure}
Nebulizer Treatment,Procedure,FALSE,Nebulizer Treatment,,Breathing in medication as a mist.,Albuterol nebulizer for asthma.,{},{breathing treatment},"{procedure,pulmonary}"
Oxygen Therapy,Procedure,FALSE,Oxygen Therapy,,Giving extra oxygen to breathe.,Patient on 2L nasal cannula.,{},{},"{procedure,pulmonary}"
Pulse Oximetry,Procedure,FALSE,Pulse Oximetry,,Measuring oxygen level in blood.,Pulse ox 95% on room air.,{},"{O2 sat,oxygen saturation}","{procedure,diagnostic}"
Capnography,Procedure,FALSE,Capnography,,Monitoring carbon dioxide in exhaled breath.,End-tidal CO2 monitoring.,{},{ETCO2},"{procedure,diagnostic,pulmonary}"
Allergy Testing,Procedure,FALSE,Allergy Testing,,Testing for allergic reactions to substances.,Skin prick allergy testing.,{},{},"{procedure,diagnostic,allergy}"
Patch Test,Procedure,FALSE,Patch Test,,Testing for contact allergies by placing substances on skin.,Patch test for contact dermatitis.,{},{},"{procedure,diagnostic,allergy,dermatology}"
Vision Test,Procedure,FALSE,Vision Test,,Checking how well a person can see.,Snellen chart vision test.,{},{eye exam},"{procedure,diagnostic,ophthalmology}"
Tonometry,Procedure,FALSE,Tonometry,,Measuring pressure inside the eye.,Tonometry to screen for glaucoma.,{},{},"{procedure,diagnostic,ophthalmology}"
Fundoscopy,Procedure,FALSE,Fundoscopy,,Looking at the back of the eye.,Dilated fundoscopic exam.,{},{ophthalmoscopy},"{procedure,diagnostic,ophthalmology}"
Hearing Test,Procedure,FALSE,Audiometry,,Testing hearing ability.,Audiogram shows hearing loss.,{},{hearing test},"{procedure,diagnostic,ent}"
Tympanometry,Procedure,FALSE,Tympanometry,,Testing middle ear function.,Tympanometry shows fluid.,{},{},"{procedure,diagnostic,ent}"
Sleep Study,Procedure,FALSE,Polysomnography,,An overnight test monitoring sleep.,Sleep study shows severe apnea.,{},{sleep study},"{procedure,diagnostic,pulmonary}"
Glucose Tolerance Test,Procedure,FALSE,Glucose Tolerance Test,,A test checking how the body processes sugar.,Oral glucose tolerance test for gestational diabetes.,{},"{GTT,OGTT}","{procedure,diagnostic,endocrine}"
Tilt Table Test,Procedure,FALSE,Tilt Table Test,,A test checking blood pressure and heart rate with position changes.,Tilt table test for syncope.,{},{},"{procedure,diagnostic,cardiovascular}"
Sweat Test,Procedure,FALSE,Sweat Chloride Test,,A test for cystic fibrosis.,Sweat test positive.,{},{},"{procedure,diagnostic}"
IR,Specialty,TRUE,Interventional Radiology,,A medical specialty using imaging to guide minimally invasive procedures.,IR placed drain for abscess.,{},{},"{specialty,radiology,imaging}"
Radiology,Specialty,FALSE,Radiology,,The medical specialty using imaging to diagnose and treat diseases.,Radiology read the CT scan.,{},{diagnostic radiology},"{specialty,imaging}"
Diagnostic Radiology,Specialty,FALSE,Diagnostic Radiology,,The branch of radiology focused on interpreting medical images.,Diagnostic radiology report.,{},{},"{specialty,imaging}"
Nuclear Medicine,Specialty,FALSE,Nuclear Medicine,,A specialty using radioactive materials to diagnose and treat disease.,Nuclear medicine performed thyroid scan.,{},{},"{specialty,imaging}"
Cardiology,Specialty,FALSE,Cardiology,,The medical specialty focused on the heart and blood vessels.,Cardiology consult for chest pain.,{},{},{specialty}
Interventional Cardiology,Specialty,FALSE,Interventional Cardiology,,Cardiology subspecialty performing procedures like stents.,Interventional cardiology did cardiac cath.,{},{},"{specialty,cardiology}"
Electrophysiology,Specialty,FALSE,Cardiac Electrophysiology,,Cardiology subspecialty focused on heart rhythm disorders.,EP study for atrial fibrillation.,{},{EP},"{specialty,cardiology}"
Pulmonology,Specialty,FALSE,Pulmonology,,The medical specialty focused on lungs and breathing.,Pulmonology manages COPD.,{},{pulmonary medicine},{specialty}
Critical Care,Specialty,FALSE,Critical Care Medicine,,The specialty caring for severely ill patients in ICU.,Critical care team rounded in ICU.,{},"{intensive care,ICU}",{specialty}
Emergency Medicine,Specialty,FALSE,Emergency Medicine,,The specialty providing immediate care for urgent medical problems.,Emergency medicine physician in ER.,{},{EM},{specialty}
Gastroenterology,Specialty,FALSE,Gastroenterology,,The medical specialty focused on digestive system.,Gastroenterology performed colonoscopy.,{},{GI},{specialty}
Hepatology,Specialty,FALSE,Hepatology,,The subspecialty focused on liver diseases.,Hepatology manages cirrhosis.,{},{},"{specialty,gastroenterology}"
Nephrology,Specialty,FALSE,Nephrology,,The medical specialty focused on kidneys.,Nephrology started dialysis.,{},{},{specialty}
Endocrinology,Specialty,FALSE,Endocrinology,,The medical specialty focused on hormones and glands.,Endocrinology adjusts diabetes medications.,{},{},{specialty}
Hematology,Specialty,FALSE,Hematology,,The medical specialty focused on blood disorders.,Hematology treats anemia.,{},{},{specialty}
Oncology,Specialty,FALSE,Oncology,,The medical specialty focused on cancer.,Medical oncology started chemotherapy.,{},{},{specialty}
Radiation Oncology,Specialty,FALSE,Radiation Oncology,,The specialty using radiation to treat cancer.,Radiation oncology planned treatment.,{},{},"{specialty,oncology}"
Hematology-Oncology,Specialty,FALSE,Hematology-Oncology,,The combined specialty treating blood cancers and disorders.,Heme-onc manages leukemia.,{},{hem-onc},{specialty}
Rheumatology,Specialty,FALSE,Rheumatology,,The medical specialty focused on arthritis and autoimmune diseases.,Rheumatology treats rheumatoid arthritis.,{},{},{specialty}
Infectious Disease,Specialty,FALSE,Infectious Disease,,The specialty focused on infections and antibiotics.,ID consult for resistant bacteria.,{},{ID},{specialty}
Allergy and Immunology,Specialty,FALSE,Allergy and Immunology,,The specialty treating allergies and immune disorders.,Allergy testing performed.,{},{},{specialty}
Dermatology,Specialty,FALSE,Dermatology,,The medical specialty focused on skin hair and nails.,Dermatology biopsied the mole.,{},{derm},{specialty}
Neurology,Specialty,FALSE,Neurology,,The medical specialty focused on the brain and nervous system.,Neurology manages seizures.,{},{neuro},{specialty}
Neurosurgery,Specialty,FALSE,Neurosurgery,,The surgical specialty operating on brain and spine.,Neurosurgery removed brain tumor.,{},{NSG},"{specialty,surgery}"
Psychiatry,Specialty,FALSE,Psychiatry,,The medical specialty treating mental health conditions.,Psychiatry prescribed antidepressant.,{},{psych},{specialty}
Pain Management,Specialty,FALSE,Pain Management,,The specialty focused on treating chronic pain.,Pain management did epidural injection.,{},{pain medicine},{specialty}
Physical Medicine and Rehabilitation,Specialty,FALSE,Physical Medicine and Rehabilitation,,The specialty helping patients recover function after injury or illness.,PM&R ordered physical therapy.,{},"{PM&R,physiatry}",{specialty}
Palliative Care,Specialty,FALSE,Palliative Care,,The specialty focused on comfort and quality of life for serious illness.,Palliative care manages symptoms.,{},{palliative medicine},{specialty}
Hospice,Specialty,FALSE,Hospice Care,,End-of-life care focusing on comfort not cure.,Patient transitioned to hospice.,{},{},{specialty}
General Surgery,Specialty,FALSE,General Surgery,,The surgical specialty performing operations on abdomen and related areas.,General surgery did appendectomy.,{},{surgery},"{specialty,surgery}"
Trauma Surgery,Specialty,FALSE,Trauma Surgery,,The surgical specialty treating severe injuries.,Trauma surgery in OR for MVA victim.,{},{},"{specialty,surgery}"
Cardiothoracic Surgery,Specialty,FALSE,Cardiothoracic Surgery,,The surgical specialty operating on heart and chest.,CT surgery performed CABG.,{},{CT surgery},"{specialty,surgery}"
Vascular Surgery,Specialty,FALSE,Vascular Surgery,,The surgical specialty operating on blood vessels.,Vascular surgery repaired aneurysm.,{},{},"{specialty,surgery}"
Transplant Surgery,Specialty,FALSE,Transplant Surgery,,The surgical specialty performing organ transplants.,Transplant surgery did kidney transplant.,{},{},"{specialty,surgery}"
Surgical Oncology,Specialty,FALSE,Surgical Oncology,,The surgical specialty removing cancerous tumors.,Surgical oncology performed tumor resection.,{},{},"{specialty,surgery,oncology}"
Orthopedic Surgery,Specialty,FALSE,Orthopedic Surgery,,The surgical specialty focused on bones and joints.,Orthopedics did knee replacement.,{},"{orthopedics,ortho}","{specialty,surgery}"
Sports Medicine,Specialty,FALSE,Sports Medicine,,The specialty treating athletic injuries.,Sports medicine manages ACL tear.,{},{},"{specialty,orthopedics}"
Hand Surgery,Specialty,FALSE,Hand Surgery,,The surgical subspecialty operating on hands.,Hand surgery repaired tendon.,{},{},"{specialty,surgery,orthopedics}"
Spine Surgery,Specialty,FALSE,Spine Surgery,,The surgical subspecialty operating on the spine.,Spine surgery did spinal fusion.,{},{},"{specialty,surgery,orthopedics}"
Plastic Surgery,Specialty,FALSE,Plastic Surgery,,The surgical specialty reconstructing or altering body parts.,Plastic surgery did breast reconstruction.,{},{plastics},"{specialty,surgery}"
Oral and Maxillofacial Surgery,Specialty,FALSE,Oral and Maxillofacial Surgery,,The surgical specialty operating on mouth jaw and face.,OMFS removed wisdom teeth.,{},{OMFS},"{specialty,surgery,dental}"
Otolaryngology,Specialty,FALSE,Otolaryngology,,The surgical specialty treating ear nose and throat.,ENT removed tonsils.,{},"{ENT,ear nose throat}","{specialty,surgery}"
Ophthalmology,Specialty,FALSE,Ophthalmology,,The medical and surgical specialty treating eyes.,Ophthalmology performed cataract surgery.,{},{},{specialty}
Optometry,Specialty,FALSE,Optometry,,The profession examining eyes and prescribing glasses.,Optometry prescribed new glasses.,{},{OD},{specialty}
Urology,Specialty,FALSE,Urology,,The surgical specialty treating urinary tract and male reproductive organs.,Urology did TURP.,{},{},"{specialty,surgery}"
Obstetrics and Gynecology,Specialty,FALSE,Obstetrics and Gynecology,,The specialty caring for women's reproductive health and pregnancy.,OB-GYN delivered baby.,{},"{OB-GYN,OB/GYN}",{specialty}
Maternal-Fetal Medicine,Specialty,FALSE,Maternal-Fetal Medicine,,The subspecialty managing high-risk pregnancies.,MFM monitors twins.,{},"{MFM,perinatology}","{specialty,obstetrics}"
Gynecologic Oncology,Specialty,FALSE,Gynecologic Oncology,,The subspecialty treating female reproductive cancers.,Gyn-onc manages ovarian cancer.,{},{gyn-onc},"{specialty,gynecology,oncology}"
Reproductive Endocrinology,Specialty,FALSE,Reproductive Endocrinology and Infertility,,The subspecialty treating infertility and hormones.,REI performed IVF.,{},"{REI,fertility}","{specialty,gynecology}"
Pediatrics,Specialty,FALSE,Pediatrics,,The medical specialty caring for children.,Pediatrics saw child for well visit.,{},{peds},{specialty}
Neonatology,Specialty,FALSE,Neonatology,,The subspecialty caring for newborns especially premature babies.,Neonatology in NICU.,{},{},"{specialty,pediatrics}"
Pediatric Surgery,Specialty,FALSE,Pediatric Surgery,,The surgical specialty operating on children.,Pediatric surgery repaired hernia.,{},{},"{specialty,surgery,pediatrics}"
Pediatric Cardiology,Specialty,FALSE,Pediatric Cardiology,,The subspecialty treating heart problems in children.,Pediatric cardiology manages congenital heart defect.,{},{},"{specialty,cardiology,pediatrics}"
Geriatrics,Specialty,FALSE,Geriatrics,,The medical specialty focused on elderly patients.,Geriatrics manages complex medications.,{},{},{specialty}
Family Medicine,Specialty,FALSE,Family Medicine,,The specialty providing comprehensive care for all ages.,Family medicine is primary care.,{},{family practice},"{specialty,primary-care}"
Internal Medicine,Specialty,FALSE,Internal Medicine,,The specialty focused on adult medical care.,Internal medicine manages chronic diseases.,{},{},"{specialty,primary-care}"
Hospitalist,Specialty,FALSE,Hospital Medicine,,Physicians who care for hospitalized patients.,Hospitalist rounded on medical floor.,{},{},{specialty}
Sleep Medicine,Specialty,FALSE,Sleep Medicine,,The specialty diagnosing and treating sleep disorders.,Sleep medicine ordered sleep study.,{},{},{specialty}
Bariatrics,Specialty,FALSE,Bariatric Surgery,,The surgical specialty performing weight loss surgery.,Bariatrics did gastric bypass.,{},{weight loss surgery},"{specialty,surgery}"
Podiatry,Specialty,FALSE,Podiatry,,The medical profession treating feet and ankles.,Podiatry treats diabetic foot ulcers.,{},{DPM},{specialty}
Pathology,Specialty,FALSE,Pathology,,The specialty examining tissues and lab samples to diagnose disease.,Pathology examined biopsy.,{},{},{specialty}
Anesthesiology,Specialty,FALSE,Anesthesiology,,The specialty providing anesthesia for surgery and pain management.,Anesthesiology gave spinal for C-section.,{},{anesthesia},{specialty}
Medical Genetics,Specialty,FALSE,Medical Genetics,,The specialty diagnosing and managing genetic disorders.,Genetics ordered chromosome analysis.,{},{genetics},{specialty}
Preventive Medicine,Specialty,FALSE,Preventive Medicine,,The specialty focused on disease prevention and public health.,Preventive medicine promotes vaccination.,{},{},{specialty}
Occupational Medicine,Specialty,FALSE,Occupational Medicine,,The specialty treating work-related injuries and illnesses.,Occupational medicine cleared for work.,{},{},{specialty}
Cardi,Root,FALSE,Heart,cardi/o,Relating to the heart.,Cardiology is the study of the heart.,{},{},"{root,anatomy}"
Pulmon,Root,FALSE,Lung,pulmon/o,Relating to the lungs.,Pulmonary means related to lungs.,{},{},"{root,anatomy}"
Gastr,Root,FALSE,Stomach,gastr/o,Relating to the stomach.,Gastritis is stomach inflammation.,{},{},"{root,anatomy}"
Enter,Root,FALSE,Intestine,enter/o,Relating to the intestines.,Enteritis is intestine inflammation.,{},{},"{root,anatomy}"
Hepat,Root,FALSE,Liver,hepat/o,Relating to the liver.,Hepatitis is liver inflammation.,{},{},"{root,anatomy}"
Nephr,Root,FALSE,Kidney,nephr/o,Relating to the kidneys.,Nephrology studies kidneys.,{},{},"{root,anatomy}"
Ren,Root,FALSE,Kidney,ren/o,Relating to the kidneys.,Renal means related to kidneys.,{},{},"{root,anatomy}"
Cyst,Root,FALSE,Bladder,cyst/o,Relating to the bladder.,Cystitis is bladder inflammation.,{},{},"{root,anatomy}"
Ur,Root,FALSE,Urine,ur/o,Relating to urine.,Urology studies urinary system.,{},{},"{root,anatomy}"
Hem,Root,FALSE,Blood,hem/o,Relating to blood.,Hematology studies blood.,{},{},"{root,anatomy}"
Hemat,Root,FALSE,Blood,hemat/o,Relating to blood.,Hematoma is a blood collection.,{},{},"{root,anatomy}"
Angi,Root,FALSE,Vessel,angi/o,Relating to blood vessels.,Angiogram images blood vessels.,{},{},"{root,anatomy}"
Vas,Root,FALSE,Vessel,vas/o,Relating to blood vessels.,Vascular means related to vessels.,{},{},"{root,anatomy}"
Neur,Root,FALSE,Nerve,neur/o,Relating to nerves.,Neurology studies the nervous system.,{},{},"{root,anatomy}"
Encephal,Root,FALSE,Brain,encephal/o,Relating to the brain.,Encephalitis is brain inflammation.,{},{},"{root,anatomy}"
Cerebr,Root,FALSE,Brain,cerebr/o,Relating to the brain.,Cerebral means related to brain.,{},{},"{root,anatomy}"
Myel,Root,FALSE,Spinal Cord or Bone Marrow,myel/o,Relating to spinal cord or bone marrow.,Myelogram images spinal cord.,{},{},"{root,anatomy}"
Oste,Root,FALSE,Bone,oste/o,Relating to bones.,Osteoporosis is bone thinning.,{},{},"{root,anatomy}"
Arthr,Root,FALSE,Joint,arthr/o,Relating to joints.,Arthritis is joint inflammation.,{},{},"{root,anatomy}"
Chondr,Root,FALSE,Cartilage,chondr/o,Relating to cartilage.,Chondromalacia is cartilage softening.,{},{},"{root,anatomy}"
My,Root,FALSE,Muscle,my/o,Relating to muscles.,Myalgia is muscle pain.,{},{},"{root,anatomy}"
Muscul,Root,FALSE,Muscle,muscul/o,Relating to muscles.,Muscular means related to muscles.,{},{},"{root,anatomy}"